,pitcher_id,walks,hits,at-bats,IP,WHIP,cERA
32,542960,118,237,1201,268.0000000000003,1.3246268656716405,3.055970149253728
33,488984,58,204,888,201.0000000000003,1.3034825870646747,3.7611940298507403
34,489446,73,149,758,164.66666666666688,1.34817813765182,4.481781376518213
35,502154,76,157,841,207.3333333333336,1.1237942122186482,0.0
36,430935,305,676,3157,706.000000000002,1.3895184135977297,3.939093484419252
37,453329,116,340,1491,328.66666666666555,1.3874239350912827,4.0253549695740505
38,472610,94,203,880,187.66666666666694,1.5825932504440474,4.26820603907637
39,491646,63,220,830,179.00000000000017,1.5810055865921773,4.67597765363128
40,518603,37,92,363,76.33333333333334,1.689956331877729,0.0
41,547749,69,202,828,173.33333333333346,1.5634615384615373,5.555769230769227
42,518617,110,142,772,164.6666666666669,1.5303643724696334,4.208502024291492
43,462945,8,17,91,21.999999999999993,1.1363636363636367,3.272727272727274
44,518927,62,94,459,97.33333333333337,1.6027397260273966,4.623287671232875
45,570649,153,344,1512,329.3333333333337,1.509109311740889,4.536437246963557
46,502188,182,669,2800,615.6666666666697,1.382241472658358,4.926367081754171
47,516969,74,212,1013,231.3333333333337,1.2363112391930815,3.2291066282420697
48,543359,111,231,1045,232.00000000000045,1.4741379310344798,3.3362068965517175
49,475138,6,10,37,6.333333333333333,2.5263157894736845,4.2631578947368425
50,451584,98,148,933,218.00000000000043,1.128440366972475,2.518348623853206
51,425492,71,206,971,221.33333333333374,1.2515060240963833,3.4563253012048127
52,572971,212,680,3072,716.0000000000024,1.2458100558659175,3.5321229050279213
53,446372,198,679,3373,803.3333333333384,1.0917012448132712,3.148132780082968
54,448609,66,156,731,160.0,1.3875,3.825
55,425786,5,23,87,19.0,1.4736842105263157,7.105263157894737
56,502381,58,162,790,185.3333333333337,1.1870503597122277,4.030575539568337
57,346798,52,195,715,147.66666666666626,1.6726862302483116,6.826185101580155
58,452718,55,190,675,135.33333333333275,1.8103448275862148,7.448275862068998
59,518468,49,104,464,98.00000000000007,1.5612244897959173,4.4999999999999964
60,425840,26,58,269,58.00000000000013,1.4482758620689624,3.7241379310344747
61,519293,59,120,642,144.00000000000017,1.243055555555554,3.0624999999999964
