last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Covey, Dylan,592229,2019,279,208,.306,.327,-.021,.506,.562,-.056,.372,.405,-.033,7.98,7.57,0.41
Iglesias, Raisel,628452,2019,279,167,.240,.225,.015,.441,.382,.059,.307,.287,.020,4.16,3.44,0.72
Rogers, Taylor,573124,2019,278,171,.225,.199,.026,.353,.344,.009,.266,.255,.011,2.61,2.70,-0.09
Gsellman, Robert,607229,2019,278,188,.261,.237,.024,.429,.357,.072,.326,.298,.028,4.66,3.73,0.93
Gonzalez, Chi Chi,592346,2019,278,198,.246,.279,-.033,.446,.466,-.020,.334,.363,-.029,5.29,5.80,-0.51
Garcia, Luis,472610,2019,278,183,.257,.253,.004,.443,.440,.003,.342,.344,-.002,4.35,5.12,-0.77
Soria, Joakim,465657,2019,278,176,.202,.218,-.016,.341,.392,-.051,.261,.291,-.030,4.30,3.55,0.75
Baez, Pedro,520980,2019,276,180,.174,.184,-.010,.287,.304,-.017,.239,.252,-.013,3.10,2.64,0.46
Soto, Gregory,642397,2019,276,198,.308,.297,.011,.496,.513,-.017,.372,.382,-.010,5.77,6.56,-0.79
Neris, Hector,593576,2019,275,156,.186,.200,-.014,.339,.346,-.007,.265,.280,-.015,2.93,3.27,-0.34
Familia, Jeurys,544727,2019,274,166,.274,.244,.030,.438,.398,.040,.356,.336,.020,5.70,4.86,0.84
Osich, Josh,592612,2019,272,196,.242,.254,-.012,.469,.457,.012,.311,.317,-.006,4.66,4.27,0.39
Armstrong, Shawn,542888,2019,271,175,.282,.260,.022,.449,.458,-.009,.347,.348,-.001,5.74,5.26,0.48
Gant, John,607231,2019,269,175,.217,.236,-.019,.323,.330,-.007,.283,.298,-.015,3.66,3.73,-0.07
Trivino, Lou,642152,2019,269,178,.265,.227,.038,.426,.341,.085,.333,.298,.035,5.25,3.73,1.52
McCarthy, Kevin,641838,2019,268,207,.285,.266,.019,.414,.400,.014,.315,.312,.003,4.48,4.12,0.36
Claudio, Alex,592222,2019,267,192,.246,.244,.002,.422,.363,.059,.318,.311,.007,4.06,4.09,-0.03
Pagan, Emilio,641941,2019,267,157,.179,.176,.003,.369,.308,.061,.245,.225,.020,2.31,2.11,0.20
Cishek, Steve,518553,2019,267,174,.210,.233,-.023,.328,.378,-.050,.285,.320,-.035,2.95,4.35,-1.40
Harvey, Matt,518774,2019,266,195,.275,.310,-.035,.528,.551,-.023,.368,.401,-.033,7.09,7.39,-0.30
May, Trevor,543507,2019,266,158,.184,.202,-.018,.316,.368,-.052,.256,.288,-.032,2.94,3.47,-0.53
James, Josh,657624,2019,266,127,.203,.174,.029,.374,.294,.080,.304,.271,.033,4.70,3.06,1.64
Kennedy, Ian,453178,2019,266,175,.261,.225,.036,.363,.379,-.016,.291,.284,.007,3.41,3.37,0.04
Treinen, Blake,595014,2019,266,169,.257,.253,.004,.416,.423,-.007,.336,.342,-.006,4.91,5.05,-0.14
Anderson, Nick,623433,2019,264,134,.214,.201,.013,.374,.365,.009,.269,.264,.005,3.32,2.90,0.42
Jansen, Kenley,445276,2019,263,163,.213,.209,.004,.383,.350,.033,.277,.268,.009,3.71,2.99,0.72
Bummer, Aaron,607481,2019,263,175,.184,.198,-.014,.252,.278,-.026,.235,.256,-.021,2.13,2.72,-0.59
Margevicius, Nick,676606,2019,263,199,.307,.298,.009,.546,.515,.031,.379,.370,.009,6.79,6.07,0.72
Stephenson, Robert,596112,2019,262,156,.182,.196,-.014,.377,.316,.061,.262,.255,.007,3.76,2.70,1.06
Mengden, Daniel,596043,2019,260,191,.254,.265,-.011,.422,.443,-.021,.322,.339,-.017,4.83,4.95,-0.12
Givens, Mychal,571710,2019,260,146,.213,.225,-.012,.426,.425,.001,.303,.311,-.008,4.57,4.09,0.48
Doolittle, Sean,448281,2019,260,177,.260,.239,.021,.463,.459,.004,.321,.313,.008,4.05,4.15,-0.10
Ryan, Kyle,594986,2019,260,171,.243,.239,.004,.341,.350,-.009,.292,.302,-.010,3.54,3.84,-0.30
Weaver, Luke,596133,2019,260,174,.227,.258,-.031,.368,.435,-.067,.274,.316,-.042,2.94,4.23,-1.29
Kingham, Nick,592468,2019,259,188,.341,.281,.060,.598,.497,.101,.416,.360,.056,7.28,5.69,1.59
VerHagen, Drew,572403,2019,258,180,.304,.267,.037,.504,.438,.066,.370,.342,.028,5.90,5.05,0.85
Albers, Matt,458006,2019,258,169,.239,.238,.001,.396,.386,.010,.311,.312,-.001,5.13,4.12,1.01
Bedrosian, Cam,592135,2019,258,169,.207,.220,-.013,.336,.365,-.029,.270,.295,-.025,3.23,3.65,-0.42
Rondon, Hector,444468,2019,257,185,.242,.240,.002,.442,.414,.028,.319,.316,.003,3.71,4.23,-0.52
Jimenez, Joe,641729,2019,257,148,.243,.213,.030,.474,.413,.061,.334,.304,.030,4.37,3.89,0.48
Smith, Will,519293,2019,257,140,.196,.210,-.014,.357,.356,.001,.261,.273,-.012,2.76,3.10,-0.34
Alvarez, Jose,501625,2019,255,185,.284,.267,.017,.431,.416,.015,.319,.314,.005,3.36,4.18,-0.82
Parker, Blake,453284,2019,255,165,.235,.276,-.041,.438,.493,-.055,.315,.358,-.043,4.55,5.62,-1.07
Fry, Paul,643316,2019,255,165,.247,.235,.012,.402,.360,.042,.326,.313,.013,5.34,4.15,1.19
Diaz, Edwin,621242,2019,254,129,.258,.203,.055,.502,.367,.135,.344,.279,.065,5.59,3.25,2.34
Buchholz, Clay,453329,2019,254,197,.306,.301,.005,.566,.566,.000,.378,.384,-.006,6.56,6.64,-0.08
Osuna, Roberto,532077,2019,253,166,.190,.214,-.024,.321,.363,-.042,.237,.266,-.029,2.63,2.94,-0.31
Greene, Shane,572888,2019,252,168,.200,.235,-.035,.335,.424,-.089,.257,.310,-.053,2.30,4.06,-1.76
Brewer, Colten,605155,2019,252,165,.277,.255,.022,.427,.387,.040,.344,.331,.013,4.12,4.69,-0.57
Erlin, Robbie,572362,2019,251,183,.312,.280,.032,.437,.454,-.017,.336,.334,.002,5.37,4.79,0.58
Fry, Jace,605240,2019,251,137,.218,.235,-.017,.371,.384,-.013,.321,.337,-.016,4.75,4.89,-0.14
McFarland, T.J.,519008,2019,250,194,.316,.309,.007,.471,.491,-.020,.350,.361,-.011,4.82,5.73,-0.91
Romo, Sergio,489265,2019,249,170,.221,.212,.009,.372,.376,-.004,.271,.275,-.004,3.43,3.15,0.28
Dyson, Sam,473879,2019,249,178,.230,.231,-.001,.357,.374,-.017,.274,.285,-.011,3.32,3.39,-0.07
Colome, Alex,517008,2019,249,170,.191,.255,-.064,.350,.460,-.110,.261,.339,-.078,2.80,4.95,-2.15
Kahnle, Tommy,592454,2019,248,138,.200,.202,-.002,.364,.339,.025,.272,.269,.003,3.67,3.01,0.66
Garcia, Yimi,554340,2019,247,161,.178,.184,-.006,.427,.370,.057,.276,.263,.013,3.61,2.88,0.73
Velazquez, Hector,584171,2019,247,166,.275,.268,.007,.460,.466,-.006,.349,.354,-.005,5.43,5.47,-0.04
Garrett, Amir,607237,2019,246,129,.213,.204,.009,.357,.307,.050,.307,.293,.014,3.21,3.60,-0.39
Lopez, Yoan,661255,2019,246,187,.232,.312,-.080,.446,.556,-.110,.298,.383,-.085,3.41,6.60,-3.19
Moronta, Reyes,606625,2019,245,140,.197,.203,-.006,.298,.363,-.065,.274,.301,-.027,2.86,3.81,-0.95
Diaz, Jairo,545064,2019,245,161,.251,.240,.011,.430,.377,.053,.315,.301,.014,4.53,3.81,0.72
Eickhoff, Jerad,595191,2019,245,174,.261,.255,.006,.563,.542,.021,.364,.358,.006,5.71,5.62,0.09
Swanson, Erik,657024,2019,245,179,.243,.263,-.020,.517,.525,-.008,.328,.348,-.020,5.74,5.26,0.48
Britton, Zack,502154,2019,244,159,.182,.200,-.018,.254,.299,-.045,.247,.277,-.030,1.91,3.20,-1.29
Cimber, Adam,643256,2019,244,180,.257,.259,-.002,.394,.398,-.004,.307,.316,-.009,4.45,4.23,0.22
Yates, Kirby,489446,2019,243,122,.186,.174,.012,.262,.265,-.003,.228,.229,-.001,1.19,2.18,-0.99
Hill, Rich,448179,2019,242,148,.223,.204,.019,.395,.334,.061,.292,.271,.021,2.45,3.06,-0.61
Hand, Brad,543272,2019,242,136,.242,.228,.014,.384,.385,-.001,.292,.288,.004,3.30,3.47,-0.17
Brach, Brad,542960,2019,242,150,.278,.253,.025,.405,.374,.031,.332,.318,.014,5.47,4.29,1.18
Clippard, Tyler,461325,2019,241,155,.176,.187,-.011,.356,.355,.001,.260,.268,-.008,2.90,2.99,-0.09
Gearrin, Cory,518715,2019,241,165,.261,.263,-.002,.384,.415,-.031,.318,.335,-.017,4.07,4.82,-0.75
Brasier, Ryan,518489,2019,241,156,.238,.251,-.013,.411,.454,-.043,.306,.333,-.027,4.85,4.76,0.09
Holmes, Clay,605280,2019,240,138,.232,.233,-.001,.366,.376,-.010,.332,.340,-.008,5.58,4.99,0.59
Feliz, Michael,593140,2019,239,137,.212,.202,.010,.413,.381,.032,.306,.297,.009,3.99,3.70,0.29
Duffey, Tyler,608648,2019,238,138,.202,.206,-.004,.339,.364,-.025,.254,.268,-.014,2.50,2.99,-0.49
Straily, Dan,573185,2019,236,179,.349,.343,.006,.746,.727,.019,.464,.459,.005,9.82,10.54,-0.72
Vazquez, Felipe,553878,2019,236,129,.197,.207,-.010,.317,.350,-.033,.247,.268,-.021,1.65,2.99,-1.34
Miller, Andrew,453192,2019,236,131,.225,.216,.009,.400,.385,.015,.320,.316,.004,4.45,4.23,0.22
Herrera, Kelvin,516969,2019,235,158,.288,.268,.020,.462,.436,.026,.339,.326,.013,6.14,4.54,1.60
Banuelos, Manny,544365,2019,235,157,.303,.285,.018,.530,.498,.032,.388,.374,.014,6.93,6.23,0.70
Chapman, Aroldis,547973,2019,235,123,.185,.194,-.009,.263,.280,-.017,.242,.262,-.020,2.21,2.85,-0.64
Bleier, Richard,542947,2019,235,193,.295,.259,.036,.473,.393,.080,.333,.297,.036,5.37,3.70,1.67
Burnes, Corbin,669203,2019,235,145,.330,.280,.050,.623,.512,.111,.417,.361,.056,8.82,5.73,3.09
Alexander, Tyler,641302,2019,235,179,.302,.276,.026,.507,.492,.015,.347,.334,.013,4.86,4.79,0.07
Swarzak, Anthony,461872,2019,234,155,.251,.256,-.005,.454,.464,-.010,.332,.341,-.009,4.56,5.02,-0.46
Hirano, Yoshihisa,673633,2019,233,147,.249,.218,.031,.395,.387,.008,.308,.300,.008,4.75,3.78,0.97
Wittgren, Nick,621295,2019,232,156,.218,.254,-.036,.407,.466,-.059,.285,.325,-.040,2.81,4.51,-1.70
Cole, Taylor,518566,2019,231,155,.286,.280,.006,.399,.380,.019,.325,.321,.004,5.92,4.38,1.54
Watson, Tony,453265,2019,231,173,.264,.267,-.003,.439,.448,-.009,.320,.328,-.008,4.17,4.60,-0.43
Glasnow, Tyler,607192,2019,230,140,.186,.181,.005,.274,.296,-.022,.222,.235,-.013,1.78,2.30,-0.52
Magill, Matt,543483,2019,229,143,.251,.259,-.008,.438,.448,-.010,.316,.328,-.012,4.09,4.60,-0.51
Kolarek, Adam,592473,2019,229,165,.229,.236,-.007,.376,.374,.002,.281,.289,-.008,3.27,3.49,-0.22
Roe, Chaz,475054,2019,229,131,.251,.232,.019,.349,.343,.006,.310,.306,.004,4.06,3.95,0.11
Harris, Will,501789,2019,229,153,.196,.225,-.029,.294,.369,-.075,.235,.278,-.043,1.50,3.22,-1.72
Kintzler, Brandon,445213,2019,227,162,.215,.238,-.023,.359,.397,-.038,.265,.297,-.032,2.68,3.70,-1.02
Mayza, Tim,641835,2019,227,143,.231,.257,-.026,.421,.443,-.022,.313,.339,-.026,4.91,4.95,-0.04
Keller, Mitch,656605,2019,227,145,.348,.258,.090,.546,.389,.157,.392,.308,.084,7.13,4.00,3.13
Civale, Aaron,650644,2019,227,164,.216,.236,-.020,.368,.349,.019,.269,.282,-.013,2.34,3.32,-0.98
Crick, Kyle,605195,2019,226,123,.224,.182,.042,.432,.346,.086,.345,.307,.038,4.96,3.98,0.98
Kelly, Joe,523260,2019,226,139,.244,.220,.024,.383,.358,.025,.306,.291,.015,4.56,3.55,1.01
Jeffress, Jeremy,502026,2019,225,157,.269,.273,-.004,.393,.441,-.048,.319,.341,-.022,5.02,5.02,0.00
Harper, Ryne,607560,2019,225,163,.257,.268,-.011,.419,.460,-.041,.297,.324,-.027,3.81,4.47,-0.66
Chafin, Andrew,605177,2019,225,137,.257,.250,.007,.366,.399,-.033,.301,.312,-.011,3.76,4.12,-0.36
Wisler, Matt,605538,2019,224,145,.272,.241,.031,.490,.401,.089,.339,.301,.038,5.61,3.81,1.80
Oberg, Scott,623184,2019,223,142,.196,.231,-.035,.291,.376,-.085,.249,.300,-.051,2.25,3.78,-1.53
Kinley, Tyler,641755,2019,221,138,.238,.241,-.003,.359,.377,-.018,.318,.330,-.012,3.65,4.66,-1.01
Webb, Tyler,643778,2019,221,148,.172,.220,-.048,.328,.373,-.045,.252,.294,-.042,3.76,3.62,0.14
Miller, Shelby,571946,2019,220,157,.317,.284,.033,.497,.494,.003,.384,.385,-.001,8.59,6.68,1.91
Drake, Oliver,543118,2019,219,129,.181,.205,-.024,.357,.361,-.004,.261,.278,-.017,3.21,3.22,-0.01
Wingenter, Trey,622259,2019,218,113,.187,.201,-.014,.324,.338,-.014,.282,.302,-.020,5.65,3.84,1.81
Anderson, Justin,605121,2019,217,124,.232,.209,.023,.431,.355,.076,.333,.310,.023,5.55,4.06,1.49
Nicasio, Juan,504379,2019,217,149,.298,.288,.010,.440,.449,-.009,.339,.351,-.012,4.75,5.36,-0.61
Martin, Chris,455119,2019,216,146,.249,.247,.002,.411,.432,-.021,.281,.294,-.013,3.40,3.62,-0.22
Elias, Roenis,606273,2019,216,150,.236,.259,-.023,.426,.476,-.050,.307,.341,-.034,3.96,5.02,-1.06
McKay, Brendan,656713,2019,216,144,.268,.261,.007,.475,.461,.014,.333,.329,.004,5.14,4.63,0.51
Guerrero, Tayron,594027,2019,216,131,.246,.246,.000,.415,.456,-.041,.352,.370,-.018,6.26,6.07,0.19
Rainey, Tanner,663432,2019,214,98,.188,.195,-.007,.347,.348,-.001,.310,.318,-.008,3.91,4.29,-0.38
Gott, Trevor,641627,2019,214,138,.216,.234,-.018,.316,.408,-.092,.261,.307,-.046,4.44,3.98,0.46
Pressly, Ryan,519151,2019,211,126,.188,.208,-.020,.310,.332,-.022,.233,.255,-.022,2.32,2.70,-0.38
Morin, Mike,573046,2019,210,170,.238,.278,-.040,.383,.455,-.072,.287,.334,-.047,4.62,4.79,-0.17
Rodney, Fernando,407845,2019,210,133,.269,.240,.029,.396,.386,.010,.332,.321,.011,5.66,4.38,1.28
Kittredge, Andrew,552640,2019,210,138,.263,.230,.033,.407,.377,.030,.305,.285,.020,4.17,3.39,0.78
Marshall, Evan,605359,2019,209,144,.228,.237,-.009,.353,.388,-.035,.289,.310,-.021,2.49,4.06,-1.57
Giles, Ken,571704,2019,208,108,.188,.184,.004,.319,.320,-.001,.247,.248,-.001,1.87,2.55,-0.68
Allard, Kolby,663465,2019,208,153,.281,.282,-.001,.389,.401,-.012,.322,.331,-.009,4.96,4.69,0.27
Poche, Colin,621363,2019,207,111,.181,.171,.010,.374,.337,.037,.279,.263,.016,4.70,2.88,1.82
Davis, Wade,451584,2019,206,133,.291,.273,.018,.474,.460,.014,.374,.366,.008,8.65,5.92,2.73
Grace, Matt,594840,2019,206,159,.319,.315,.004,.560,.570,-.010,.379,.386,-.007,6.36,6.72,-0.36
Garcia, Jarlin,606424,2019,206,149,.216,.251,-.035,.319,.412,-.093,.259,.316,-.057,3.02,4.23,-1.21
Kelley, Shawn,518875,2019,205,149,.291,.283,.008,.550,.556,-.006,.362,.367,-.005,4.94,5.95,-1.01
Suarez, Ranger,624133,2019,205,150,.278,.267,.011,.417,.408,.009,.310,.306,.004,3.14,3.95,-0.81
Ferguson, Caleb,657571,2019,204,117,.234,.247,-.013,.419,.410,.009,.331,.337,-.006,4.84,4.89,-0.05
Ponce de Leon, Daniel,594965,2019,203,123,.207,.210,-.003,.351,.358,-.007,.287,.296,-.009,3.70,3.68,0.02
Rodriguez, Jefry,622446,2019,203,149,.270,.260,.010,.427,.456,-.029,.325,.341,-.016,4.63,5.02,-0.39
